1   Microsoft Corporation	MSFT	5.52383	   182.11	-1.14	(-0.62%)
2	Apple Inc.	AAPL	5.247042	   320.75	2.81	(0.88%)
3	Amazon.com Inc.	AMZN	4.019166	   2462.65	20.28	(0.83%)
4	Facebook Inc. Class A	FB	2.14031	   231.28	6.19	(2.75%)
5	Alphabet Inc. Class A	GOOGL	1.697235	   1428.00	-5.52	(-0.39%)
6	Alphabet Inc. Class C	GOOG	1.687557	   1427.00	-1.92	(-0.13%)
7	Johnson & Johnson	JNJ	1.546896	   147.19	-1.56	(-1.05%)
8	Berkshire Hathaway Inc. Class B	BRK.B	1.434328	   183.84	-1.74	(-0.94%)
9	Visa Inc. Class A	V	1.320597	   194.35	-0.89	(-0.46%)
10	JPMorgan Chase & Co.	JPM	1.205985	   98.60	1.29	(1.33%)
11	Procter & Gamble Company	PG	1.14225	   117.25	1.33	(1.15%)
12	UnitedHealth Group Incorporated	UNH	1.141213	   305.93	1.08	(0.35%)
13	Intel Corporation	INTC	1.08165	   61.61	-1.32	(-2.10%)
14	Home Depot Inc.	HD	1.071	   247.29	-1.19	(-0.48%)
15	Mastercard Incorporated Class A	MA	1.055423	   301.40	0.51	(0.17%)
16	Verizon Communications Inc.	VZ	0.937689	   55.78	-1.60	(-2.79%)
17	AT&T Inc.	T	0.890751	   30.93	0.07	(0.23%)
18	NVIDIA Corporation	NVDA	0.858513	   350.00	-5.02	(-1.41%)
19	Walt Disney Company	DIS	0.83539	   118.77	1.47	(1.25%)
20	Pfizer Inc.	PFE	0.8351	   35.46	-2.73	(-7.15%)
21	Merck & Co. Inc.	MRK	0.812042	   79.56	-1.16	(-1.44%)
22	Cisco Systems Inc.	CSCO	0.801581	   46.30	-1.52	(-3.18%)
23	Bank of America Corp	BAC	0.771554	   24.61	0.49	(2.03%)
24	Exxon Mobil Corporation	XOM	0.760184	   46.28	0.81	(1.78%)
25	Adobe Inc.	ADBE	0.739463	   387.50	0.90	(0.23%)
26	Netflix Inc.	NFLX	0.726844	   422.73	3.00	(0.71%)
27	PepsiCo Inc.	PEP	0.724817	   132.85	1.30	(0.99%)
28	PayPal Holdings Inc	PYPL	0.71918	   154.00	-1.01	(-0.65%)
29	Coca-Cola Company	KO	0.711233	   46.99	0.31	(0.66%)
30	Comcast Corporation Class A	CMCSA	0.710351	   40.00	0.40	(1.01%)
31	Walmart Inc.	WMT	0.695395	   123.96	-0.10	(-0.08%)
32	Chevron Corporation	CVX	0.685129	   92.79	1.09	(1.19%)
33	Abbott Laboratories	ABT	0.662879	   93.01	-1.91	(-2.01%)
34	AbbVie Inc.	ABBV	0.645593	   90.70	-1.97	(-2.13%)
35	salesforce.com inc.	CRM	0.612939	   176.36	1.57	(0.90%)
36	McDonald's Corporation	MCD	0.554438	   187.41	1.09	(0.59%)
37	Thermo Fisher Scientific Inc.	TMO	0.553573	   349.33	0.14	(0.04%)
38	Bristol-Myers Squibb Company	BMY	0.55346	   60.29	0.57	(0.95%)
39	Amgen Inc.	AMGN	0.539583	   226.00	-3.70	(-1.61%)
40	Costco Wholesale Corporation	COST	0.538762	   307.09	-1.38	(-0.45%)
41	Medtronic Plc	MDT	0.522106	   97.11	-1.47	(-1.49%)
42	Eli Lilly and Company	LLY	0.510632	   152.45	-0.50	(-0.33%)
43	Accenture Plc Class A	ACN	0.505932	   203.38	1.76	(0.87%)
44	NextEra Energy Inc.	NEE	0.493563	   255.65	0.09	(0.04%)
